"LOINC"	"MAP_TO"	"COMMENT"
"33322-9"	"27999-2"	
"33337-7"	"23485-6"	
"33377-3"	"16470-7"	
"33378-1"	"5057-5"	
"33419-3"	"19108-0"	
"33420-1"	"31855-0"	
"33579-4"	"23878-2"	
"33580-2"	"23877-4"	
"33581-0"	"30338-8"	
"3358-9"	"3359-7"	
"33597-6"	"44948-8"	
"33607-3"	"32692-6"	
"33608-1"	"32691-8"	
"3373-8"	"3372-0"	
"3375-3"	"3374-6"	
"33776-6"	"32750-2"	
"3386-0"	"3385-2"	
"3388-6"	"3387-8"	
"33902-8"	"10864-7"	
"33976-2"	"22758-7"	
"34195-8"	"34157-8"	
"3442-1"	"3443-9"	
"34580-1"	"18197-4"	
"34676-7"	"35462-1"	
"34734-4"	"21619-2"	
"34757-5"	"28618-7"	
"34789-8"	"28628-6"	
"34804-5"	"28578-3"	
"34825-0"	"28579-1"	
"34842-5"	"28653-4"	
"34871-4"	"28624-5"	
"34903-5"	"34786-4"	
"34937-3"	"3264-9"	
"35085-0"	"54089-8"	
"35152-8"	"30197-8"	
"35153-6"	"33036-5"	
"35156-9"	"30195-2"	
"35159-3"	"30194-5"	
"3529-5"	"3426-4"	
"3544-4"	"19141-1"	
"3554-3"	"39354-6"	
"35660-0"	"22637-3"	"This code would be used when the final diagnosis is being sent as block of narrative text or a paragraph"
"35660-0"	"34574-4"	"This code would be used when the final diagnosis is chosen from a list of options (e.g. such as a SNOMED diagnosis code)."
"35694-9"	"17038-1"	
"35695-6"	"17039-9"	
"35696-4"	"17037-3"	
"36133-7"	"24734-6"	
"3664-0"	"35668-3"	
"36836-5"	"48694-4"	
"3696-2"	"2491-9"	
"3699-6"	"47395-9"	
"3709-3"	"3708-5"	
"37129-4"	"37084-1"	
"3733-3"	"5679-6"	
"3736-6"	"3735-8"	
"3751-5"	"3750-7"	
"37573-3"	"37488-4"	
"3759-8"	"3749-9"	
"37837-2"	"37827-3"	
"37838-0"	"37828-1"	
"37865-3"	"37851-3"	
"37873-7"	"24917-7"	
"38085-7"	"38854-6"	
"38346-3"	"27859-8"	
"3835-6"	"3620-2"	
"38378-6"	"17296-5"	
"38383-6"	"5001-3"	
"3849-7"	"47385-0"	
"38809-0"	"37967-7"	
"38823-1"	"37769-7"	
"39035-1"	"25061-3"	
"39041-9"	"42143-8"	
"39143-3"	"42459-8"	
"3930-5"	"3929-7"	
"39417-1"	"24777-5"	
"39438-7"	"39437-9"	
"39557-4"	"32198-4"	
"39560-8"	"62489-0"	
"39586-3"	"31163-9"	
"3961-0"	"3960-2"	
"39616-8"	"30356-0"	
"39617-6"	"30234-9"	
"39659-8"	"24750-2"	
"39706-7"	"39705-9"	
"39717-4"	"39699-4"	
"39721-6"	"39727-3"	
"39778-6"	"14801-5"	
"39911-3"	"39910-5"	
"39926-1"	"39928-7"	
"4033-7"	"4034-5"	
"40344-4"	"21714-1"	
"40449-1"	"59417-6"	
"40450-9"	"59412-7"	
"4051-9"	"4052-7"	
"4058-4"	"35670-9"	
"40586-0"	"40443-4"	
"40589-4"	"33437-5"	
"40590-2"	"59417-6"	
"40591-0"	"59412-7"	
"40592-8"	"59417-6"	
"40611-6"	"30376-8"	
"40615-7"	"5774-5"	
"40676-9"	"23486-4"	
"40777-5"	"22345-3"	
"40819-5"	"31399-9"	
"40826-0"	"31259-5"	
"4091-5"	"20578-1"	
"40981-3"	"34487-9"	
"41054-8"	"41053-0"	
"41126-4"	"13285-2"	
"41265-0"	"9805-3"	
"41301-3"	"56048-2"	
"41302-1"	"56045-8"	
"41313-8"	"56044-1"	
"41314-6"	"56043-3"	
"41383-1"	"56047-4"	
"41384-9"	"56046-6"	
"41445-8"	"673-4"	
"41452-4"	"40976-3"	
"41455-7"	"40978-9"	
"41456-5"	"40987-0"	
"41457-3"	"40990-4"	
"41481-3"	"5058-3"	
"41509-1"	"5388-4"	
"41510-9"	"5391-8"	
"4158-2"	"4159-0"	
"41741-0"	"23667-9"	
"41780-8"	"26165-1"	
"41781-6"	"26165-1"	
"41794-9"	"36588-2"	
"41805-3"	"24578-7"	
"41821-0"	"26164-4"	
"41822-8"	"26164-4"	
"41866-5"	"27816-8"	
"41909-3"	"39156-5"	
"42013-3"	"24669-4"	
"42015-8"	"24947-4"	
"42016-6"	"24985-4"	
"4209-3"	"4193-9"	
"18852-4"	"11537-8"	
"18925-8"	"18855-7"	
"18933-2"	"18932-4"	
"19046-2"	"15590-3"	
"19060-3"	"888-8"	
"19085-0"	"13362-9"	
"19361-5"	"3398-5"	
"19426-6"	"12477-6"	
"1948-9"	"1682-4"	
"19506-5"	"19502-4"	
"19507-3"	"19503-2"	
"19508-1"	"19504-0"	
"19509-9"	"19505-7"	
"19591-7"	"19321-9"	
"19592-5"	"19322-7"	
"19594-1"	"10975-1"	
"19595-8"	"19323-5"	
"19596-6"	"19324-3"	
"19689-9"	"6930-2"	
"19702-0"	"19415-9"	
"19703-8"	"19416-7"	
"19704-6"	"19417-5"	
"19705-3"	"19418-3"	
"19730-1"	"6304-0"	
"19731-9"	"6031-9"	
"19735-0"	"6195-2"	
